datetime_collected,status,primary_source,collection_mode,total_duration,carbon_emissions,price,type,target_date,airline,flight_number,airplane,travel_class,departure_airport,departure_time,arrival_airport,arrival_time,leg_duration
2026-09-02,success,True,festival_target,85,"{'this_flight': 61000, 'typical_for_this_route': 52000, 'difference_percent': 17}",2396,One way,2026-10-09,Cebu Pacific,5J 487,Airbus A321,Economy,MNL,2026-10-09 14:45,BCD,2026-10-09 16:10,85
2026-09-02,success,True,festival_target,80,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",2619,One way,2026-10-09,Philippine Airlines,PR 2129,Airbus A320,Economy,MNL,2026-10-09 04:05,BCD,2026-10-09 05:25,80
2026-09-02,success,True,festival_target,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",2731,One way,2026-10-09,Philippine Airlines,PR 2131,Airbus A320,Economy,MNL,2026-10-09 09:20,BCD,2026-10-09 10:35,75
2026-09-02,success,True,festival_target,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",2731,One way,2026-10-09,Philippine Airlines,PR 2133,Airbus A320,Economy,MNL,2026-10-09 13:35,BCD,2026-10-09 14:50,75
2026-09-02,success,True,festival_target,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",2731,One way,2026-10-09,Philippine Airlines,PR 2135,Airbus A320,Economy,MNL,2026-10-09 16:20,BCD,2026-10-09 17:35,75
2026-09-03,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",4076,One way,,Philippines AirAsia,Z2 605,Airbus A320,Economy,MNL,2026-09-04 21:05,BCD,2026-09-04 22:20,75
2026-09-03,success,True,rolling,85,"{'this_flight': 50000, 'typical_for_this_route': 52000, 'difference_percent': -4}",4188,One way,,Cebu Pacific,5J 475,Airbus A320neo,Economy,MNL,2026-09-04 20:15,BCD,2026-09-04 21:40,85
2026-09-03,success,True,rolling,85,"{'this_flight': 61000, 'typical_for_this_route': 52000, 'difference_percent': 17}",4188,One way,,Cebu Pacific,5J 471,Airbus A321,Economy,MNL,2026-09-04 20:25,BCD,2026-09-04 21:50,85
2026-09-03,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",4523,One way,,Philippine Airlines,PR 2133,Airbus A320,Economy,MNL,2026-09-04 13:35,BCD,2026-09-04 14:50,75
2026-09-03,success,True,rolling,75,"{'this_flight': 62000, 'typical_for_this_route': 52000, 'difference_percent': 19}",4523,One way,,Philippine Airlines,PR 2135,Airbus A320,Economy,MNL,2026-09-04 16:20,BCD,2026-09-04 17:35,75
